"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","2","445-4497-1-ND","C3225X7R2A225K230AB","CAP CER 2.2UF 100V X7R 1210","C10 C11","2","0","0.72000","1.44"
"2","1","541-124KLCT-ND","CRCW0402124KFKED","RES SMD 124K OHM 1% 1/16W 0402","R6","1","0","0.10000","0.10"
"3","2","399-C0805C222K5RACTUCT-ND","C0805C222K5RACTU","CAP CER 2200PF 50V X7R 0805","C12 C13","2","0","0.10000","0.20"
"4","1","1655-SB10150CT-ND","SB10150","DIODE SCHOTTKY 150V 10A DO201AD","D1","1","0","0.77000","0.77"
"5","2","490-6819-1-ND","LQW15AN47NG00D","FIXED IND 47NH 210MA 1.08OHM SMD","L1 L2","2","0","0.11000","0.22"
"6","1","399-C0805C470J5GACTUCT-ND","C0805C470J5GACTU","CAP CER 47PF 50V C0G/NP0 0805","C14","1","0","0.10000","0.10"
"7","1","541-1.30MHCT-ND","CRCW06031M30FKEA","RES SMD 1.3M OHM 1% 1/10W 0603","R9","1","0","0.10000","0.10"
"8","1","311-576KHRCT-ND","RC0603FR-07576KL","RES 576K OHM 1% 1/10W 0603","R10","1","0","0.10000","0.10"
"9","3","311-49.9KHRCT-ND","RC0603FR-0749K9L","RES 49.9K OHM 1% 1/10W 0603","R11 R12 R20","3","0","0.10000","0.30"
"10","4","296-TLV76701DRVRCT-ND","TLV76701DRVR","IC REG LINEAR POS ADJ 1A 6-WSON","LDOs","4","0","0.32000","1.28"
"11","2","490-11250-1-ND","GJM1555C1HR50WB01D","CAP CER 0.5PF 50V C0G/NP0 0402","C1 C2","2","0","0.14000","0.28"
"12","1","1276-1244-1-ND","CL21A475KAQNNNE","CAP CER 4.7UF 25V X5R 0805","C3","1","0","0.10000","0.10"
"13","1","490-6473-1-ND","GRM21BR61C106KE15K","CAP CER 10UF 16V X5R 0805","C4","1","0","0.15000","0.15"
"14","1","399-C0603C104K5RAC7411CT-ND","C0603C104K5RAC7411","CAP CER 0.1UF 50V X7R 0603","C16","1","0","0.08000","0.08"
"15","3","311-1069-1-ND","CC0603JRNPO9BN101","CAP CER 100PF 50V C0G/NPO 0603","C5 C6 C17","3","0","0.10000","0.30"
"16","4","445-CGA3E1X7R1E105K080DCCT-ND","CGA3E1X7R1E105K080DC","AUTOMOTIVE GRADE,0603,X7R,25V,1U","C18 C20 C22 C24","4","0","0.16000","0.64"
"17","4","490-10731-1-ND","GRM188R61E225KA12D","CAP CER 2.2UF 25V X5R 0603","C19 C21 C23 C25","4","0","0.11000","0.44"
"18","1","445-3959-1-ND","ACT45B-101-2P-TL003","CMC 100UH 150MA 2LN 5.8KOHM SMD","FFL1","1","0","1.56000","1.56"
"19","2","A31438-ND","5555153-1","CONN MOD JACK 8P8C R/A SHIELDED","","2","0","2.22000","4.44"
"20","2","541-60.4HCT-ND","CRCW060360R4FKEA","RES SMD 60.4 OHM 1% 1/10W 0603","R1 R2","2","0","0.10000","0.20"
"21","2","541-0.0SBCT-ND","CRCW06030000Z0EAHP","RES SMD 0 OHM JUMPER 1/3W 0603","R3 R4","2","0","0.10000","0.20"
"22","1","296-43936-1-ND","TCAN1042HGVDRQ1","IC TRANSCEIVER 1/1 8SOIC","U2","1","0","1.74000","1.74"
"23","1","P10.0KHCT-ND","ERJ-3EKF1002V","RES SMD 10K OHM 1% 1/10W 0603","R5","1","0","0.10000","0.10"
"24","1","311-6.81KHRCT-ND","RC0603FR-076K81L","RES 6.81K OHM 1% 1/10W 0603","R7","1","0","0.10000","0.10"
"25","1","RMCF0603FT3K32CT-ND","RMCF0603FT3K32","RES 3.32K OHM 1% 1/10W 0603","R8","1","0","0.10000","0.10"
"26","5","311-16.0KHRCT-ND","RC0603FR-0716KL","RES 16K OHM 1% 1/10W 0603","R13 R15 R19 R21 R22","5","0","0.10000","0.50"
"27","1","311-82.5KHRCT-ND","RC0603FR-0782K5L","RES 82.5K OHM 1% 1/10W 0603","R14","1","0","0.10000","0.10"
"28","1","311-1.5KGRCT-ND","RC0603JR-071K5L","RES 1.5K OHM 5% 1/10W 0603","R16","1","0","0.10000","0.10"
"29","1","RMCF0603FT220KCT-ND","RMCF0603FT220K","RES 220K OHM 1% 1/10W 0603","R17","1","0","0.10000","0.10"
"30","1","311-3.90KHRCT-ND","RC0603FR-073K9L","RES 3.9K OHM 1% 1/10W 0603","R18","1","0","0.10000","0.10"
"31","1","296-ISO7041FQDBQRQ1CT-ND","ISO7041FQDBQRQ1","DGTL ISOLTR 3KV 4CH GP 16-SSOP","U3","1","0","4.25000","4.25"
"32","1","296-45314-1-ND","DAC6551AQDGKRQ1","IC DAC 12BIT V-OUT 8VSSOP","U4","1","0","3.91000","3.91"
"33","1","296-TLV9361QDBVRQ1CT-ND","TLV9361QDBVRQ1","AUTOMOTIVE, SINGLE, 40-V 10.6-MH","U6","1","0","0.86000","0.86"
"34","1","296-LM5012QDDARQ1CT-ND","LM5012QDDARQ1","IC REG BUCK ADJ 2.5A 8SOPWR","U5","1","0","3.78000","3.78"
"35","3","732-74650074RCT-ND","74650074R","TERM REDCUBE M4 4PIN PCB","","3","0","3.68000","11.04"
"36","1","160-1423-1-ND","LTST-C171GKT","LED GREEN CLEAR CHIP SMD","D2","1","0","0.15000","0.15"
"37","3","1276-1789-1-ND","CL10C040CB8NNNC","CAP CER 4PF 50V C0G/NP0 0603","C7 C8 C9","3","0","0.10000","0.30"
"38","1","490-3889-1-ND","GRM32ER61E226KE15L","CAP CER 22UF 25V X5R 1210","C15","1","0","1.93000","1.93"